Food code;Main food description;Subcode;Subcode description;WWEIA Category number;WWEIA Category description;Seq num;Portion description;Portion weight (g)
11000000;Milk, human;;;9602;Human milk;1;1 cup;246
11000000;Milk, human;;;9602;Human milk;2;Quantity not specified;0
11000000;Milk, human;;;9602;Human milk;3;1 fl oz;30,8
11100000;Milk, NFS;;;1004;Milk, reduced fat;1;1 cup;244
11100000;Milk, NFS;;;1004;Milk, reduced fat;2;1 fl oz;30,5
11100000;Milk, NFS;;;1004;Milk, reduced fat;3;1 individual school container;244
11100000;Milk, NFS;;;1004;Milk, reduced fat;4;Guideline amount per fl oz of beverage;2,5
11100000;Milk, NFS;;;1004;Milk, reduced fat;5;Guideline amount per cup of hot cereal;61
11100000;Milk, NFS;;;1004;Milk, reduced fat;6;Quantity not specified;244
11111000;Milk, whole;;;1002;Milk, whole;1;1 cup;244
11111000;Milk, whole;;;1002;Milk, whole;2;1 fl oz;30,5
11111000;Milk, whole;;;1002;Milk, whole;3;1 individual school container;244
11111000;Milk, whole;;;1002;Milk, whole;4;Guideline amount per fl oz of beverage;2,5
11111000;Milk, whole;;;1002;Milk, whole;5;Guideline amount per cup of hot cereal;61
11111000;Milk, whole;;;1002;Milk, whole;6;Quantity not specified;244
11111100;Milk, low sodium, whole;;;1002;Milk, whole;1;1 cup;244
11111100;Milk, low sodium, whole;;;1002;Milk, whole;2;1 fl oz;30,5
11111100;Milk, low sodium, whole;;;1002;Milk, whole;3;Guideline amount per fl oz of beverage;2,5
11111100;Milk, low sodium, whole;;;1002;Milk, whole;4;Guideline amount per cup of hot cereal;61
11111100;Milk, low sodium, whole;;;1002;Milk, whole;5;Quantity not specified;244
11111150;Milk, calcium fortified, whole;;;1002;Milk, whole;1;1 cup;244
11111150;Milk, calcium fortified, whole;;;1002;Milk, whole;2;1 fl oz;30,5
11111150;Milk, calcium fortified, whole;;;1002;Milk, whole;3;Guideline amount per fl oz of beverage;2,5
11111150;Milk, calcium fortified, whole;;;1002;Milk, whole;4;Guideline amount per cup of hot cereal;61
11111150;Milk, calcium fortified, whole;;;1002;Milk, whole;5;Quantity not specified;244
11111160;Milk, calcium fortified, low fat (1%);;;1006;Milk, lowfat;1;1 cup;244
11111160;Milk, calcium fortified, low fat (1%);;;1006;Milk, lowfat;2;1 fl oz;30,5
11111160;Milk, calcium fortified, low fat (1%);;;1006;Milk, lowfat;3;Guideline amount per fl oz of beverage;2,5
11111160;Milk, calcium fortified, low fat (1%);;;1006;Milk, lowfat;4;Guideline amount per cup of hot cereal;61
11111160;Milk, calcium fortified, low fat (1%);;;1006;Milk, lowfat;5;Quantity not specified;244
11111170;Milk, calcium fortified, fat free (skim);;;1008;Milk, nonfat;1;1 cup;244
11111170;Milk, calcium fortified, fat free (skim);;;1008;Milk, nonfat;2;1 fl oz;30,5
11111170;Milk, calcium fortified, fat free (skim);;;1008;Milk, nonfat;3;Guideline amount per fl oz of beverage;2,5
11111170;Milk, calcium fortified, fat free (skim);;;1008;Milk, nonfat;4;Guideline amount per cup of hot cereal;61
11111170;Milk, calcium fortified, fat free (skim);;;1008;Milk, nonfat;5;Quantity not specified;244
11112110;Milk, reduced fat (2%);;;1004;Milk, reduced fat;1;1 cup;244
11112110;Milk, reduced fat (2%);;;1004;Milk, reduced fat;2;1 fl oz;30,5
11112110;Milk, reduced fat (2%);;;1004;Milk, reduced fat;3;1 individual school container;244
11112110;Milk, reduced fat (2%);;;1004;Milk, reduced fat;4;Guideline amount per fl oz of beverage;2,5
11112110;Milk, reduced fat (2%);;;1004;Milk, reduced fat;5;Guideline amount per cup of hot cereal;61
11112110;Milk, reduced fat (2%);;;1004;Milk, reduced fat;6;Quantity not specified;244
11112120;Milk, acidophilus, low fat (1%);;;1006;Milk, lowfat;1;1 cup;244
11112120;Milk, acidophilus, low fat (1%);;;1006;Milk, lowfat;2;1 fl oz;30,5
11112120;Milk, acidophilus, low fat (1%);;;1006;Milk, lowfat;3;Guideline amount per fl oz of beverage;2,5
11112120;Milk, acidophilus, low fat (1%);;;1006;Milk, lowfat;4;Guideline amount per cup of hot cereal;61
11112120;Milk, acidophilus, low fat (1%);;;1006;Milk, lowfat;5;Quantity not specified;244
11112130;Milk, acidophilus, reduced fat (2%);;;1004;Milk, reduced fat;1;1 cup;244
11112130;Milk, acidophilus, reduced fat (2%);;;1004;Milk, reduced fat;2;1 fl oz;30,5
11112130;Milk, acidophilus, reduced fat (2%);;;1004;Milk, reduced fat;3;Quantity not specified;244
11112130;Milk, acidophilus, reduced fat (2%);;;1004;Milk, reduced fat;4;Guideline amount per fl oz of beverage;2,5
11112130;Milk, acidophilus, reduced fat (2%);;;1004;Milk, reduced fat;5;Guideline amount per cup of hot cereal;61
11112210;Milk, low fat (1%);;;1006;Milk, lowfat;1;1 cup;244
11112210;Milk, low fat (1%);;;1006;Milk, lowfat;2;1 fl oz;30,5
11112210;Milk, low fat (1%);;;1006;Milk, lowfat;3;1 individual school container;244
